A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,class
0.0,22.67,7.0,2.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,160.0,1.0,0
0.0,29.58,1.75,1.0,4.0,4.0,1.25,0.0,0.0,0.0,1.0,2.0,280.0,1.0,0
0.0,21.67,11.5,1.0,5.0,3.0,0.0,1.0,1.0,11.0,1.0,2.0,0.0,1.0,1
0.0,15.83,0.585,2.0,8.0,8.0,1.5,1.0,1.0,2.0,0.0,2.0,100.0,1.0,1
0.0,58.67,4.46,2.0,11.0,8.0,3.04,1.0,1.0,6.0,0.0,2.0,43.0,561.0,1
0.0,55.75,7.08,2.0,4.0,8.0,6.75,1.0,1.0,3.0,1.0,2.0,100.0,51.0,0
0.0,18.92,9.0,2.0,6.0,4.0,0.75,1.0,1.0,2.0,0.0,2.0,88.0,592.0,1
0.0,22.42,5.665,2.0,11.0,4.0,2.585,1.0,1.0,7.0,0.0,2.0,129.0,3258.0,1
0.0,28.17,0.585,2.0,6.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,260.0,1005.0,0
0.0,19.17,0.585,1.0,6.0,4.0,0.585,1.0,0.0,0.0,1.0,2.0,160.0,1.0,0
0.0,30.67,12.0,2.0,8.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,220.0,20.0,1
0.0,20.42,10.5,1.0,14.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,154.0,33.0,0
0.0,47.75,8.0,2.0,8.0,4.0,7.875,1.0,1.0,6.0,1.0,2.0,0.0,1261.0,1
0.0,47.42,3.0,2.0,14.0,4.0,13.875,1.0,1.0,2.0,1.0,2.0,519.0,1705.0,1
0.0,20.75,10.25,2.0,11.0,4.0,0.71,1.0,1.0,2.0,1.0,2.0,49.0,1.0,1
0.0,24.5,1.75,1.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,132.0,1.0,0
0.0,29.5,2.0,1.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,256.0,18.0,0
0.0,52.83,15.0,2.0,8.0,4.0,5.5,1.0,1.0,14.0,0.0,2.0,0.0,2201.0,1
0.0,37.33,2.5,2.0,3.0,8.0,0.21,0.0,0.0,0.0,0.0,2.0,260.0,247.0,0
0.0,23.75,0.71,2.0,9.0,4.0,0.25,0.0,1.0,1.0,1.0,2.0,240.0,5.0,0
0.0,40.83,3.5,2.0,3.0,5.0,0.5,0.0,0.0,0.0,0.0,1.0,1160.0,1.0,0
0.0,24.5,0.5,2.0,11.0,8.0,1.5,1.0,0.0,0.0,0.0,2.0,280.0,825.0,1
0.0,19.5,0.165,2.0,11.0,4.0,0.04,0.0,0.0,0.0,1.0,2.0,380.0,1.0,0
0.0,30.42,1.375,2.0,9.0,8.0,0.04,0.0,1.0,3.0,0.0,2.0,0.0,34.0,0
0.0,32.17,1.46,2.0,9.0,4.0,1.085,1.0,1.0,16.0,0.0,2.0,120.0,2080.0,1
0.0,35.17,3.75,2.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,201.0,0
0.0,18.58,10.0,2.0,2.0,4.0,0.415,0.0,0.0,0.0,0.0,2.0,80.0,43.0,0
0.0,24.75,13.665,2.0,11.0,8.0,1.5,0.0,0.0,0.0,0.0,2.0,280.0,2.0,0
0.0,47.0,13.0,2.0,3.0,5.0,5.165,1.0,1.0,9.0,1.0,2.0,0.0,1.0,1
0.0,18.17,10.0,1.0,11.0,8.0,0.165,0.0,0.0,0.0,0.0,2.0,340.0,1.0,0
0.0,38.92,1.665,2.0,6.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,391.0,0
0.0,17.33,9.5,2.0,6.0,4.0,1.75,0.0,1.0,10.0,1.0,2.0,0.0,11.0,0
0.0,20.42,0.835,2.0,11.0,4.0,1.585,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1
0.0,39.08,4.0,2.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,480.0,1.0,0
0.0,25.0,0.875,2.0,14.0,8.0,1.04,1.0,0.0,0.0,1.0,2.0,160.0,5861.0,1
0.0,49.83,13.585,2.0,4.0,8.0,8.5,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1
0.0,35.75,0.915,2.0,6.0,4.0,0.75,1.0,1.0,4.0,0.0,2.0,0.0,1584.0,1
0.0,20.75,10.335,2.0,13.0,8.0,0.335,1.0,1.0,1.0,1.0,2.0,80.0,51.0,1
0.0,38.75,1.5,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,76.0,1.0,0
0.0,57.08,19.5,2.0,8.0,4.0,5.5,1.0,1.0,7.0,0.0,2.0,0.0,3001.0,1
0.0,31.25,3.75,2.0,13.0,8.0,0.625,1.0,1.0,9.0,1.0,2.0,181.0,1.0,1
0.0,58.33,10.0,2.0,11.0,4.0,4.0,1.0,1.0,14.0,0.0,2.0,0.0,1603.0,1
0.0,46.0,4.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,100.0,961.0,1
0.0,24.75,12.5,2.0,6.0,4.0,1.5,1.0,1.0,12.0,1.0,2.0,120.0,568.0,1
0.0,20.83,0.5,1.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,260.0,1.0,0
0.0,26.5,2.71,1.0,8.0,4.0,0.085,0.0,0.0,0.0,0.0,1.0,80.0,1.0,0
0.0,38.33,4.415,2.0,8.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,160.0,1.0,0
0.0,46.08,3.0,2.0,8.0,4.0,2.375,1.0,1.0,8.0,1.0,2.0,396.0,4160.0,1
0.0,22.25,1.25,1.0,1.0,1.0,3.25,0.0,0.0,0.0,0.0,2.0,280.0,1.0,0
0.0,16.5,1.25,2.0,11.0,4.0,0.25,0.0,1.0,1.0,0.0,2.0,108.0,99.0,0
0.0,68.67,15.0,2.0,10.0,9.0,0.0,1.0,1.0,14.0,0.0,2.0,0.0,3377.0,1
0.0,15.92,2.875,2.0,11.0,4.0,0.085,0.0,0.0,0.0,0.0,2.0,120.0,1.0,0
0.0,47.42,8.0,2.0,10.0,5.0,6.5,1.0,1.0,6.0,0.0,2.0,375.0,51101.0,1
0.0,33.08,1.625,2.0,2.0,4.0,0.54,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0
0.0,22.5,8.46,1.0,14.0,4.0,2.46,0.0,0.0,0.0,0.0,2.0,164.0,1.0,1
0.0,27.67,1.5,2.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,368.0,1.0,0
0.0,18.92,9.25,1.0,8.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,80.0,501.0,1
0.0,23.5,9.0,2.0,11.0,4.0,8.5,1.0,1.0,5.0,1.0,2.0,120.0,1.0,1
0.0,56.83,4.25,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0
0.0,53.33,0.165,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,62.0,28.0,0
0.0,33.75,0.75,2.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,212.0,1.0,0
0.0,29.75,0.665,2.0,9.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,300.0,1.0,0
0.0,23.0,1.835,2.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,200.0,54.0,0
0.0,28.58,3.54,2.0,3.0,5.0,0.5,1.0,0.0,0.0,1.0,2.0,171.0,1.0,0
0.0,18.75,7.5,2.0,11.0,4.0,2.71,1.0,1.0,5.0,0.0,2.0,184.0,26727.0,1
0.0,16.08,0.335,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,160.0,127.0,0
0.0,20.33,10.0,2.0,8.0,8.0,1.0,1.0,1.0,4.0,0.0,2.0,50.0,1466.0,1
0.0,21.75,1.75,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,160.0,1.0,0
0.0,25.33,2.085,2.0,8.0,8.0,2.75,1.0,0.0,0.0,1.0,2.0,360.0,2.0,0
0.0,24.75,3.0,2.0,11.0,8.0,1.835,1.0,1.0,19.0,0.0,2.0,0.0,501.0,1
0.0,40.33,8.125,1.0,4.0,4.0,0.165,0.0,1.0,2.0,0.0,2.0,184.0,19.0,0
0.0,29.5,0.46,2.0,4.0,4.0,0.54,1.0,1.0,4.0,0.0,2.0,380.0,501.0,1
0.0,26.58,2.54,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,180.0,61.0,0
0.0,33.08,4.625,2.0,11.0,8.0,1.625,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1
0.0,30.5,6.5,2.0,8.0,5.0,4.0,1.0,1.0,7.0,1.0,2.0,0.0,3066.0,1
0.0,22.83,2.29,2.0,11.0,8.0,2.29,1.0,1.0,7.0,1.0,2.0,140.0,2385.0,1
0.0,20.67,3.0,2.0,11.0,4.0,0.165,1.0,1.0,3.0,0.0,2.0,100.0,7.0,1
0.0,64.08,0.165,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,232.0,101.0,1
0.0,22.42,11.25,1.0,14.0,8.0,0.75,1.0,1.0,4.0,0.0,2.0,0.0,322.0,1
0.0,24.33,2.5,1.0,3.0,5.0,4.5,0.0,0.0,0.0,0.0,2.0,200.0,457.0,0
0.0,69.5,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,28.08,15.0,1.0,10.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,13213.0,1
0.0,16.92,0.5,2.0,3.0,4.0,0.165,0.0,1.0,6.0,1.0,2.0,240.0,36.0,0
0.0,16.0,0.165,2.0,6.0,4.0,1.0,0.0,1.0,2.0,1.0,2.0,320.0,2.0,0
0.0,40.83,10.0,2.0,11.0,8.0,1.75,1.0,0.0,0.0,0.0,2.0,29.0,838.0,1
0.0,21.75,11.75,2.0,8.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,180.0,1.0,0
0.0,25.08,2.54,1.0,6.0,4.0,0.25,1.0,0.0,0.0,1.0,2.0,370.0,1.0,1
0.0,28.58,3.75,2.0,8.0,4.0,0.25,0.0,1.0,1.0,1.0,2.0,40.0,155.0,0
0.0,19.17,5.415,2.0,3.0,8.0,0.29,0.0,0.0,0.0,0.0,2.0,80.0,485.0,0
0.0,20.08,0.125,2.0,11.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,240.0,769.0,1
0.0,57.08,0.335,2.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,252.0,2198.0,0
0.0,36.75,4.71,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,160.0,1.0,0
0.0,31.92,3.125,2.0,1.0,1.0,3.04,0.0,1.0,2.0,1.0,2.0,200.0,5.0,0
0.0,31.57,1.5,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,200.0,106.0,0
0.0,15.83,7.625,2.0,11.0,4.0,0.125,0.0,1.0,1.0,1.0,2.0,0.0,161.0,0
0.0,19.58,0.665,2.0,9.0,4.0,1.665,0.0,0.0,0.0,0.0,2.0,220.0,6.0,0
0.0,22.67,0.75,2.0,8.0,4.0,2.0,0.0,1.0,2.0,1.0,2.0,200.0,395.0,0
0.0,49.0,1.5,2.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,100.0,28.0,0
0.0,19.67,0.21,2.0,11.0,8.0,0.29,1.0,1.0,11.0,0.0,2.0,80.0,100.0,1
0.0,38.58,5.0,2.0,13.0,4.0,13.5,1.0,0.0,0.0,1.0,2.0,980.0,1.0,0
0.0,50.08,12.54,2.0,6.0,4.0,2.29,1.0,1.0,3.0,1.0,2.0,156.0,1.0,1
0.0,15.75,0.375,2.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,120.0,19.0,0
0.0,24.5,12.75,2.0,8.0,5.0,4.75,1.0,1.0,2.0,0.0,2.0,73.0,445.0,1
0.0,51.92,6.5,2.0,3.0,5.0,3.085,0.0,0.0,0.0,1.0,2.0,73.0,1.0,0
0.0,60.92,5.0,2.0,6.0,4.0,4.0,1.0,1.0,4.0,0.0,2.0,0.0,100.0,1
0.0,42.25,1.75,1.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,150.0,2.0,0
0.0,36.0,1.0,2.0,8.0,4.0,2.0,1.0,1.0,11.0,0.0,2.0,0.0,457.0,1
0.0,18.83,4.415,1.0,8.0,8.0,3.0,1.0,0.0,0.0,0.0,2.0,240.0,1.0,1
0.0,22.58,10.75,2.0,11.0,4.0,0.415,1.0,1.0,5.0,1.0,2.0,0.0,561.0,1
0.0,23.42,0.79,1.0,11.0,4.0,1.5,1.0,1.0,2.0,1.0,2.0,80.0,401.0,1
0.0,30.0,5.29,2.0,10.0,2.0,2.25,1.0,1.0,5.0,1.0,2.0,99.0,501.0,1
0.0,40.33,7.54,1.0,11.0,8.0,8.0,1.0,1.0,14.0,0.0,2.0,0.0,2301.0,1
0.0,36.75,5.125,2.0,10.0,4.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,4001.0,1
0.0,25.17,2.875,2.0,14.0,8.0,0.875,1.0,0.0,0.0,0.0,2.0,360.0,1.0,1
0.0,18.83,9.5,2.0,9.0,4.0,1.625,1.0,1.0,6.0,1.0,2.0,40.0,601.0,1
0.0,27.25,0.29,2.0,7.0,8.0,0.125,0.0,1.0,1.0,1.0,2.0,272.0,109.0,0
0.0,19.58,0.665,1.0,8.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,2000.0,3.0,0
0.0,50.25,0.835,2.0,6.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,240.0,118.0,0
0.0,36.58,0.29,2.0,1.0,1.0,0.0,0.0,1.0,10.0,0.0,2.0,200.0,19.0,0
0.0,20.83,3.0,2.0,6.0,4.0,0.04,1.0,0.0,0.0,0.0,2.0,100.0,1.0,1
0.0,23.58,0.83,2.0,11.0,4.0,0.415,0.0,1.0,1.0,1.0,2.0,200.0,12.0,0
0.0,58.42,21.0,2.0,3.0,5.0,10.0,1.0,1.0,13.0,0.0,2.0,0.0,6701.0,1
0.0,31.75,3.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,160.0,21.0,0
0.0,41.17,6.5,2.0,11.0,4.0,0.5,1.0,1.0,3.0,1.0,2.0,145.0,1.0,1
0.0,26.17,2.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,276.0,2.0,0
0.0,28.17,0.375,2.0,11.0,4.0,0.585,1.0,1.0,4.0,0.0,2.0,80.0,1.0,1
0.0,27.17,1.25,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,92.0,301.0,0
0.0,19.17,8.585,2.0,13.0,8.0,0.75,1.0,1.0,7.0,0.0,2.0,96.0,1.0,1
0.0,25.58,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,184.0,1.0,1
0.0,22.5,8.5,2.0,11.0,4.0,1.75,1.0,1.0,10.0,0.0,2.0,80.0,991.0,0
0.0,22.92,1.25,2.0,11.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,120.0,810.0,0
0.0,29.5,1.085,1.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,280.0,14.0,0
0.0,32.0,6.0,2.0,2.0,4.0,1.25,0.0,0.0,0.0,0.0,2.0,272.0,1.0,0
0.0,28.75,3.75,2.0,8.0,4.0,1.085,1.0,1.0,1.0,1.0,2.0,371.0,1.0,1
0.0,33.25,3.0,1.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,180.0,1.0,0
0.0,21.08,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,56.5,16.0,2.0,5.0,1.0,0.0,1.0,1.0,15.0,0.0,2.0,0.0,248.0,1
0.0,20.5,11.835,2.0,8.0,8.0,6.0,1.0,0.0,0.0,0.0,2.0,340.0,1.0,1
0.0,30.25,5.5,2.0,4.0,4.0,5.5,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0
0.0,24.58,0.67,2.0,6.0,8.0,1.75,1.0,0.0,0.0,0.0,2.0,400.0,1.0,0
0.0,31.57,11.25,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,184.0,5201.0,0
0.0,32.33,0.54,2.0,13.0,4.0,0.04,1.0,0.0,0.0,0.0,2.0,440.0,11178.0,1
0.0,24.08,0.5,2.0,11.0,8.0,1.25,1.0,1.0,1.0,0.0,2.0,0.0,679.0,1
0.0,24.83,4.5,2.0,9.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,360.0,7.0,0
0.0,47.25,0.75,2.0,11.0,8.0,2.75,1.0,1.0,1.0,0.0,2.0,333.0,893.0,1
0.0,30.58,10.665,2.0,11.0,8.0,0.085,0.0,1.0,12.0,1.0,2.0,129.0,4.0,0
0.0,16.33,0.21,2.0,6.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,200.0,2.0,0
0.0,71.58,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,184.0,1.0,1
0.0,22.5,11.0,1.0,11.0,4.0,3.0,1.0,0.0,0.0,1.0,2.0,268.0,1.0,0
0.0,23.0,11.75,2.0,14.0,8.0,0.5,1.0,1.0,2.0,1.0,2.0,300.0,552.0,1
0.0,17.58,9.0,2.0,6.0,4.0,1.375,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1
0.0,57.58,2.0,2.0,1.0,1.0,6.5,0.0,1.0,1.0,0.0,2.0,0.0,11.0,0
0.0,65.17,14.0,2.0,1.0,1.0,0.0,1.0,1.0,11.0,1.0,2.0,0.0,1401.0,1
0.0,23.58,11.5,1.0,4.0,8.0,3.0,0.0,0.0,0.0,1.0,2.0,20.0,17.0,0
0.0,20.83,8.5,2.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,0.0,352.0,0
0.0,60.58,16.5,2.0,11.0,4.0,11.0,1.0,0.0,0.0,1.0,2.0,21.0,10562.0,1
0.0,25.0,12.33,2.0,13.0,8.0,3.5,1.0,1.0,6.0,0.0,2.0,400.0,459.0,1
0.0,25.25,13.5,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,200.0,2.0,0
0.0,25.0,11.0,1.0,6.0,4.0,4.5,1.0,0.0,0.0,0.0,2.0,120.0,1.0,0
0.0,33.67,0.375,2.0,13.0,4.0,0.375,0.0,0.0,0.0,0.0,2.0,300.0,45.0,1
0.0,28.67,1.04,2.0,8.0,4.0,2.5,1.0,1.0,5.0,1.0,2.0,300.0,1431.0,1
0.0,18.08,0.375,3.0,13.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,300.0,1.0,1
0.0,21.92,11.665,2.0,4.0,8.0,0.085,0.0,0.0,0.0,0.0,2.0,320.0,6.0,0
0.0,45.83,10.5,2.0,11.0,4.0,5.0,1.0,1.0,7.0,1.0,2.0,0.0,1.0,1
0.0,31.57,3.5,2.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,2.0,300.0,1.0,0
0.0,20.42,7.5,2.0,4.0,4.0,1.5,1.0,1.0,1.0,0.0,2.0,160.0,235.0,1
0.0,21.25,2.335,2.0,3.0,5.0,0.5,1.0,1.0,4.0,0.0,1.0,80.0,1.0,1
0.0,27.33,1.665,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,340.0,2.0,0
0.0,18.25,10.0,2.0,9.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,120.0,2.0,0
0.0,28.5,1.0,2.0,11.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,167.0,501.0,0
0.0,21.5,6.0,2.0,6.0,4.0,2.5,1.0,1.0,3.0,0.0,2.0,80.0,919.0,1
0.0,45.33,1.0,2.0,11.0,4.0,0.125,0.0,0.0,0.0,1.0,2.0,263.0,1.0,0
0.0,23.58,0.585,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,2.0,120.0,88.0,0
0.0,17.92,0.54,2.0,8.0,4.0,1.75,0.0,1.0,1.0,1.0,2.0,80.0,6.0,0
0.0,22.67,0.335,2.0,11.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,160.0,1.0,0
0.0,20.67,1.835,2.0,11.0,4.0,2.085,1.0,1.0,5.0,0.0,2.0,220.0,2504.0,1
0.0,35.42,12.0,2.0,11.0,8.0,14.0,1.0,1.0,8.0,0.0,2.0,0.0,6591.0,1
0.0,22.67,0.79,2.0,3.0,4.0,0.085,0.0,0.0,0.0,0.0,2.0,144.0,1.0,0
0.0,34.83,1.25,1.0,3.0,8.0,0.5,0.0,0.0,0.0,1.0,2.0,160.0,1.0,0
0.0,41.58,1.04,2.0,6.0,4.0,0.665,0.0,0.0,0.0,0.0,2.0,240.0,238.0,0
0.0,33.92,1.585,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,320.0,1.0,0
0.0,24.5,2.415,1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,0
0.0,33.25,2.5,1.0,8.0,4.0,2.5,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0
0.0,44.17,6.665,2.0,11.0,4.0,7.375,1.0,1.0,3.0,1.0,2.0,0.0,1.0,1
0.0,44.33,0.0,2.0,8.0,4.0,2.5,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1
0.0,45.0,4.585,2.0,4.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,240.0,1.0,0
0.0,41.33,1.0,2.0,3.0,5.0,2.25,1.0,0.0,0.0,1.0,2.0,0.0,301.0,1
0.0,23.5,1.5,2.0,9.0,4.0,0.875,0.0,0.0,0.0,1.0,2.0,160.0,1.0,0
0.0,17.83,11.0,2.0,14.0,8.0,1.0,1.0,1.0,11.0,0.0,2.0,0.0,3001.0,1
0.0,33.17,2.25,1.0,13.0,4.0,3.5,0.0,0.0,0.0,1.0,2.0,200.0,142.0,0
0.0,52.5,7.0,2.0,6.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,25.42,1.125,2.0,11.0,4.0,1.29,1.0,1.0,2.0,0.0,2.0,200.0,1.0,0
0.0,28.5,3.04,1.0,14.0,8.0,2.54,1.0,1.0,1.0,0.0,2.0,70.0,1.0,1
0.0,38.25,6.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1
0.0,20.75,9.54,2.0,3.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,200.0,1001.0,0
0.0,26.92,13.5,2.0,11.0,8.0,5.0,1.0,1.0,2.0,0.0,2.0,0.0,5001.0,1
0.0,46.67,0.46,2.0,13.0,8.0,0.415,1.0,1.0,11.0,1.0,2.0,440.0,7.0,1
0.0,52.17,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,27.67,2.04,2.0,9.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,180.0,51.0,0
0.0,20.08,1.25,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,27.58,3.0,2.0,7.0,4.0,2.79,0.0,1.0,1.0,1.0,2.0,280.0,11.0,0
0.0,18.42,9.25,2.0,11.0,4.0,1.21,1.0,1.0,4.0,0.0,2.0,60.0,541.0,1
0.0,23.25,5.875,2.0,11.0,4.0,3.17,1.0,1.0,10.0,0.0,2.0,120.0,246.0,1
0.0,28.58,1.665,2.0,11.0,4.0,2.415,1.0,0.0,0.0,1.0,2.0,440.0,1.0,0
0.0,24.5,1.04,1.0,1.0,1.0,0.5,1.0,1.0,3.0,0.0,2.0,180.0,148.0,0
0.0,28.42,3.5,2.0,9.0,4.0,0.835,1.0,0.0,0.0,0.0,1.0,280.0,1.0,1
0.0,41.0,2.04,1.0,11.0,8.0,0.125,1.0,1.0,23.0,1.0,2.0,455.0,1237.0,1
0.0,19.75,0.75,2.0,8.0,4.0,0.795,1.0,1.0,5.0,1.0,2.0,140.0,6.0,0
0.0,25.25,12.5,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,180.0,1063.0,0
0.0,17.67,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,86.0,1.0,0
0.0,22.5,0.415,2.0,3.0,4.0,0.335,0.0,0.0,0.0,1.0,1.0,144.0,1.0,0
0.0,26.08,8.665,2.0,6.0,4.0,1.415,1.0,0.0,0.0,0.0,2.0,160.0,151.0,1
0.0,24.92,1.25,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,80.0,1.0,0
0.0,32.25,1.5,2.0,8.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,372.0,123.0,0
0.0,37.75,5.5,2.0,11.0,4.0,0.125,1.0,0.0,0.0,1.0,2.0,228.0,1.0,1
0.0,17.92,10.21,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,51.0,0
0.0,25.75,0.5,2.0,8.0,8.0,0.875,1.0,0.0,0.0,1.0,2.0,491.0,1.0,1
0.0,22.75,6.165,2.0,6.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,220.0,1001.0,0
0.0,22.92,11.585,2.0,13.0,4.0,0.04,1.0,0.0,0.0,0.0,2.0,80.0,1350.0,1
0.0,48.17,1.335,2.0,3.0,7.0,0.335,0.0,0.0,0.0,0.0,2.0,0.0,121.0,0
0.0,18.83,9.54,2.0,6.0,4.0,0.085,1.0,0.0,0.0,0.0,2.0,100.0,1.0,1
0.0,27.42,14.5,2.0,14.0,8.0,3.085,1.0,1.0,1.0,0.0,2.0,120.0,12.0,1
